2023.12.07 18:35:04 INFO  Started: Metals version 1.1.0 in folders '/home/sam/Desktop/LinguaggiDiProg/Scala/EsempiLezioni' for client Visual Studio Code 1.84.2.
2023.12.07 18:35:10 INFO  Running List(/home/sam/.local/share/coursier/bin/scala-cli, setup-ide, /home/sam/Desktop/LinguaggiDiProg/Scala/EsempiLezioni)
2023.12.07 18:35:10 INFO  Attempting to connect to the build server...
2023.12.07 18:35:10 INFO  Running BSP server List(/home/sam/.local/share/coursier/bin/.scala-cli.aux, bsp, --json-options, /home/sam/Desktop/LinguaggiDiProg/Scala/EsempiLezioni/.scala-build/ide-options-v2.json, /home/sam/Desktop/LinguaggiDiProg/Scala/EsempiLezioni)
2023.12.07 18:35:10 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/sam/Desktop/LinguaggiDiProg/Scala/EsempiLezioni/.metals/bsp.trace.json or /home/sam/.cache/metals/bsp.trace.json
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.11-sc-3/bloop-frontend_2.12-1.5.11-sc-3.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.11-sc-3/bloop-frontend_2.12-1.5.11-sc-3.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/1.5.5/bloop-config_2.12-1.5.5.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/scala-debug-adapter_2.12/3.1.4/scala-debug-adapter_2.12-3.1.4.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.18/scala-library-2.12.18.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.pom
2023.12.07 18:35:11 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.11-sc-3/bloop-backend_2.12-1.5.11-sc-3.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.18/scala-library-2.12.18.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/1.5.5/bloop-config_2.12-1.5.5.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2023.12.07 18:35:11 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.11-sc-3/bloop-backend_2.12-1.5.11-sc-3.pom
